season,round,driver,constructor,position,points
2011,18,Kobayashi,Sauber,10,1
2011,18,Pérez,Sauber,11,0
2011,18,Barrichello,Williams,12,0
2011,18,Petrov,Renault,13,0
2011,18,Maldonado,Williams,14,0
2011,18,Alguersuari,Toro Rosso,15,0
2011,18,Senna,Renault,16,0
2011,18,Kovalainen,Lotus,17,0
2011,18,Trulli,Lotus,18,0
2011,18,Glock,Virgin,19,0
2011,18,Liuzzi,HRT,20,0
2011,18,Ricciardo,HRT,21,0
2011,18,Buemi,Toro Rosso,22,0
2011,18,d'Ambrosio,Virgin,23,0
2011,18,Vettel,Red Bull,24,0
2011,19,Webber,Red Bull,1,25
2011,19,Vettel,Red Bull,2,18
2011,19,Button,McLaren,3,15
2011,19,Alonso,Ferrari,4,12
2011,19,Massa,Ferrari,5,10
2011,19,Sutil,Force India,6,8
2011,19,Rosberg,Mercedes,7,6
2011,19,di Resta,Force India,8,4
2011,19,Kobayashi,Sauber,9,2
2011,19,Petrov,Renault,10,1
2011,19,Alguersuari,Toro Rosso,11,0
2011,19,Buemi,Toro Rosso,12,0
2011,19,Pérez,Sauber,13,0
2011,19,Barrichello,Williams,14,0
2011,19,Schumacher,Mercedes,15,0
2011,19,Kovalainen,Lotus,16,0
2011,19,Senna,Renault,17,0
2011,19,Trulli,Lotus,18,0
2011,19,d'Ambrosio,Virgin,19,0
2011,19,Ricciardo,HRT,20,0
2011,19,Liuzzi,HRT,21,0
2011,19,Hamilton,McLaren,22,0
2011,19,Maldonado,Williams,23,0
2011,19,Glock,Virgin,24,0
2012,1,Button,McLaren,1,25
2012,1,Vettel,Red Bull,2,18
2012,1,Hamilton,McLaren,3,15
2012,1,Webber,Red Bull,4,12
2012,1,Alonso,Ferrari,5,10
2012,1,Kobayashi,Sauber,6,8
2012,1,Räikkönen,Lotus F1,7,6
2012,1,Pérez,Sauber,8,4
2012,1,Ricciardo,Toro Rosso,9,2
2012,1,di Resta,Force India,10,1
2012,1,Vergne,Toro Rosso,11,0
2012,1,Rosberg,Mercedes,12,0
2012,1,Maldonado,Williams,13,0
2012,1,Glock,Marussia,14,0
2012,1,Pic,Marussia,15,0
2012,1,Senna,Williams,16,0
2012,1,Massa,Ferrari,17,0
2012,1,Kovalainen,Caterham,18,0
2012,1,Petrov,Caterham,19,0
2012,1,Schumacher,Mercedes,20,0
2012,1,Grosjean,Lotus F1,21,0
2012,1,Hülkenberg,Force India,22,0
2012,2,Alonso,Ferrari,1,25
2012,2,Pérez,Sauber,2,18
2012,2,Hamilton,McLaren,3,15
2012,2,Webber,Red Bull,4,12
2012,2,Räikkönen,Lotus F1,5,10
2012,2,Senna,Williams,6,8
2012,2,di Resta,Force India,7,6
2012,2,Vergne,Toro Rosso,8,4
2012,2,Hülkenberg,Force India,9,2
2012,2,Schumacher,Mercedes,10,1
2012,2,Vettel,Red Bull,11,0
2012,2,Ricciardo,Toro Rosso,12,0
2012,2,Rosberg,Mercedes,13,0
2012,2,Button,McLaren,14,0
2012,2,Massa,Ferrari,15,0
2012,2,Petrov,Caterham,16,0
2012,2,Glock,Marussia,17,0
2012,2,Kovalainen,Caterham,18,0
2012,2,Maldonado,Williams,19,0
2012,2,Pic,Marussia,20,0
2012,2,Karthikeyan,HRT,21,0
2012,2,de la Rosa,HRT,22,0
2012,2,Kobayashi,Sauber,23,0
2012,2,Grosjean,Lotus F1,24,0
2012,3,Rosberg,Mercedes,1,25
2012,3,Button,McLaren,2,18
2012,3,Hamilton,McLaren,3,15
2012,3,Webber,Red Bull,4,12
2012,3,Vettel,Red Bull,5,10
2012,3,Grosjean,Lotus F1,6,8
2012,3,Senna,Williams,7,6
2012,3,Maldonado,Williams,8,4
2012,3,Alonso,Ferrari,9,2
2012,3,Kobayashi,Sauber,10,1
2012,3,Pérez,Sauber,11,0
2012,3,di Resta,Force India,12,0
2012,3,Massa,Ferrari,13,0
2012,3,Räikkönen,Lotus F1,14,0
2012,3,Hülkenberg,Force India,15,0
2012,3,Vergne,Toro Rosso,16,0
2012,3,Ricciardo,Toro Rosso,17,0
2012,3,Petrov,Caterham,18,0
2012,3,Glock,Marussia,19,0
2012,3,Pic,Marussia,20,0
2012,3,de la Rosa,HRT,21,0
2012,3,Karthikeyan,HRT,22,0
2012,3,Kovalainen,Caterham,23,0
2012,3,Schumacher,Mercedes,24,0
2011,11,Button,McLaren,1,25
2011,11,Vettel,Red Bull,2,18
2011,11,Alonso,Ferrari,3,15
2011,11,Hamilton,McLaren,4,12
2011,11,Webber,Red Bull,5,10
2011,11,Massa,Ferrari,6,8
2011,11,di Resta,Force India,7,6
2011,11,Buemi,Toro Rosso,8,4
2011,11,Rosberg,Mercedes,9,2
2011,11,Alguersuari,Toro Rosso,10,1
2011,11,Kobayashi,Sauber,11,0
2011,11,Petrov,Renault,12,0
2011,11,Barrichello,Williams,13,0
2011,11,Sutil,Force India,14,0
2011,11,Pérez,Sauber,15,0
2011,11,Maldonado,Williams,16,0
2011,11,Glock,Virgin,17,0
2011,11,Ricciardo,HRT,18,0
2011,11,d'Ambrosio,Virgin,19,0
2011,11,Liuzzi,HRT,20,0
2011,11,Kovalainen,Lotus,21,0
2011,11,Schumacher,Mercedes,22,0
2011,11,Heidfeld,Renault,23,0
2011,11,Trulli,Lotus,24,0
2012,5,Maldonado,Williams,1,25
2012,5,Alonso,Ferrari,2,18
2012,5,Räikkönen,Lotus F1,3,15
2012,5,Grosjean,Lotus F1,4,12
2012,5,Kobayashi,Sauber,5,10
2012,5,Vettel,Red Bull,6,8
2012,5,Rosberg,Mercedes,7,6
2012,5,Hamilton,McLaren,8,4
2012,5,Button,McLaren,9,2
2012,5,Hülkenberg,Force India,10,1
2012,5,Webber,Red Bull,11,0
2012,5,Vergne,Toro Rosso,12,0
2012,5,Ricciardo,Toro Rosso,13,0
2012,5,di Resta,Force India,14,0
2012,5,Massa,Ferrari,15,0
2012,5,Kovalainen,Caterham,16,0
2012,5,Petrov,Caterham,17,0
2012,5,Glock,Marussia,18,0
2012,5,de la Rosa,HRT,19,0
2012,5,Pérez,Sauber,20,0
2012,5,Pic,Marussia,21,0
2012,5,Karthikeyan,HRT,22,0
2012,5,Senna,Williams,23,0
2012,5,Schumacher,Mercedes,24,0
2012,8,Alonso,Ferrari,1,25
2012,8,Räikkönen,Lotus F1,2,18
2012,8,Schumacher,Mercedes,3,15
2012,8,Webber,Red Bull,4,12
2012,8,Hülkenberg,Force India,5,10
2012,8,Rosberg,Mercedes,6,8
2012,8,di Resta,Force India,7,6
2012,8,Button,McLaren,8,4
2012,8,Pérez,Sauber,9,2
2012,8,Senna,Williams,10,1
2012,8,Ricciardo,Toro Rosso,11,0
2012,8,Maldonado,Williams,12,0
2012,8,Petrov,Caterham,13,0
2012,8,Kovalainen,Caterham,14,0
2012,8,Pic,Marussia,15,0
2012,8,Massa,Ferrari,16,0
2012,8,de la Rosa,HRT,17,0
2012,8,Karthikeyan,HRT,18,0
2012,8,Hamilton,McLaren,19,0
2012,8,Grosjean,Lotus F1,20,0
2012,8,Vettel,Red Bull,21,0
2012,8,Kobayashi,Sauber,22,0
2012,8,Vergne,Toro Rosso,23,0
2012,8,Glock,Marussia,24,0
2012,9,Webber,Red Bull,1,25
2012,9,Alonso,Ferrari,2,18
2012,9,Vettel,Red Bull,3,15
2012,9,Massa,Ferrari,4,12
2012,9,Räikkönen,Lotus F1,5,10
2012,9,Grosjean,Lotus F1,6,8
2012,9,Schumacher,Mercedes,7,6
2012,9,Hamilton,McLaren,8,4
2012,9,Senna,Williams,9,2
2012,9,Button,McLaren,10,1
2012,9,Kobayashi,Sauber,11,0
2012,9,Hülkenberg,Force India,12,0
2012,9,Ricciardo,Toro Rosso,13,0
2012,9,Vergne,Toro Rosso,14,0
2012,9,Rosberg,Mercedes,15,0
2012,9,Maldonado,Williams,16,0
2012,9,Kovalainen,Caterham,17,0
2012,9,Glock,Marussia,18,0
2012,9,Pic,Marussia,19,0
2012,9,de la Rosa,HRT,20,0
2012,9,Karthikeyan,HRT,21,0
2012,9,Pérez,Sauber,22,0
2012,9,di Resta,Force India,23,0
2012,9,Petrov,Caterham,24,0
2012,10,Alonso,Ferrari,1,25
2012,10,Button,McLaren,2,18
2012,10,Räikkönen,Lotus F1,3,15
2012,10,Kobayashi,Sauber,4,12
2012,10,Vettel,Red Bull,5,10
2012,10,Pérez,Sauber,6,8
2012,10,Schumacher,Mercedes,7,6
2012,10,Webber,Red Bull,8,4
2012,10,Hülkenberg,Force India,9,2
2012,10,Rosberg,Mercedes,10,1
2012,10,di Resta,Force India,11,0
2012,10,Massa,Ferrari,12,0
2012,10,Ricciardo,Toro Rosso,13,0
2012,10,Vergne,Toro Rosso,14,0
2012,10,Maldonado,Williams,15,0
2012,10,Petrov,Caterham,16,0
2012,10,Senna,Williams,17,0
2012,10,Grosjean,Lotus F1,18,0
2012,10,Kovalainen,Caterham,19,0
2012,10,Pic,Marussia,20,0
2012,10,de la Rosa,HRT,21,0
2012,10,Glock,Marussia,22,0
2012,10,Karthikeyan,HRT,23,0
2012,10,Hamilton,McLaren,24,0
2012,11,Hamilton,McLaren,1,25
2012,11,Räikkönen,Lotus F1,2,18
2012,11,Grosjean,Lotus F1,3,15
2012,11,Vettel,Red Bull,4,12
2012,11,Alonso,Ferrari,5,10
2012,11,Button,McLaren,6,8
2012,11,Senna,Williams,7,6
2012,11,Webber,Red Bull,8,4
2012,11,Massa,Ferrari,9,2
2012,11,Rosberg,Mercedes,10,1
2012,11,Hülkenberg,Force India,11,0
2012,11,di Resta,Force India,12,0
2012,11,Maldonado,Williams,13,0
2012,11,Pérez,Sauber,14,0
2012,11,Ricciardo,Toro Rosso,15,0
2012,11,Vergne,Toro Rosso,16,0
2012,11,Kovalainen,Caterham,17,0
2012,11,Kobayashi,Sauber,18,0
2012,11,Petrov,Caterham,19,0
2012,11,Pic,Marussia,20,0
2012,11,Glock,Marussia,21,0
2012,11,de la Rosa,HRT,22,0
2012,11,Karthikeyan,HRT,23,0
2012,11,Schumacher,Mercedes,24,0
2012,12,Button,McLaren,1,25
2012,12,Vettel,Red Bull,2,18
2012,12,Räikkönen,Lotus F1,3,15
2012,12,Hülkenberg,Force India,4,12
2012,12,Massa,Ferrari,5,10
2012,12,Webber,Red Bull,6,8
2012,12,Schumacher,Mercedes,7,6
2012,12,Vergne,Toro Rosso,8,4
2012,12,Ricciardo,Toro Rosso,9,2
2012,12,di Resta,Force India,10,1
2012,12,Rosberg,Mercedes,11,0
2012,12,Senna,Williams,12,0
2012,12,Kobayashi,Sauber,13,0
2012,12,Petrov,Caterham,14,0
2012,12,Glock,Marussia,15,0
2012,12,Pic,Marussia,16,0
2012,12,Kovalainen,Caterham,17,0
2012,12,de la Rosa,HRT,18,0
2012,12,Karthikeyan,HRT,19,0
2012,12,Maldonado,Williams,20,0
2012,12,Pérez,Sauber,21,0
2012,12,Alonso,Ferrari,22,0
2012,12,Hamilton,McLaren,23,0
2012,12,Grosjean,Lotus F1,24,0
2012,13,Hamilton,McLaren,1,25
2012,13,Pérez,Sauber,2,18
2012,13,Alonso,Ferrari,3,15
2012,13,Massa,Ferrari,4,12
2012,13,Räikkönen,Lotus F1,5,10
2012,13,Schumacher,Mercedes,6,8
2012,13,Rosberg,Mercedes,7,6
2012,13,di Resta,Force India,8,4
2012,13,Kobayashi,Sauber,9,2
2012,13,Senna,Williams,10,1
2012,13,Maldonado,Williams,11,0
2012,13,Ricciardo,Toro Rosso,12,0
2012,13,d'Ambrosio,Lotus F1,13,0
2012,13,Kovalainen,Caterham,14,0
2012,13,Petrov,Caterham,15,0
2012,13,Pic,Marussia,16,0
2012,13,Glock,Marussia,17,0
2012,13,de la Rosa,HRT,18,0
2012,13,Karthikeyan,HRT,19,0
2012,13,Webber,Red Bull,20,0
2012,13,Hülkenberg,Force India,21,0
2012,13,Vettel,Red Bull,22,0
2012,13,Button,McLaren,23,0
2012,13,Vergne,Toro Rosso,24,0
2012,15,Vettel,Red Bull,1,25
2012,15,Massa,Ferrari,2,18
2012,15,Kobayashi,Sauber,3,15
2012,15,Button,McLaren,4,12
2012,15,Hamilton,McLaren,5,10
2012,15,Räikkönen,Lotus F1,6,8
2012,15,Hülkenberg,Force India,7,6
2012,15,Maldonado,Williams,8,4
2012,15,Webber,Red Bull,9,2
2012,15,Ricciardo,Toro Rosso,10,1
2012,15,Schumacher,Mercedes,11,0
2012,15,di Resta,Force India,12,0
2012,15,Vergne,Toro Rosso,13,0
2012,15,Senna,Williams,14,0
2012,15,Kovalainen,Caterham,15,0
2012,15,Glock,Marussia,16,0
2012,15,Petrov,Caterham,17,0
2012,15,de la Rosa,HRT,18,0
2012,15,Grosjean,Lotus F1,19,0
2012,15,Pic,Marussia,20,0
2012,15,Karthikeyan,HRT,21,0
2012,15,Pérez,Sauber,22,0
2012,15,Alonso,Ferrari,23,0
2012,15,Rosberg,Mercedes,24,0
2012,7,Hamilton,McLaren,1,25
2012,7,Grosjean,Lotus F1,2,18
2012,7,Pérez,Sauber,3,15
2012,7,Vettel,Red Bull,4,12
2012,7,Alonso,Ferrari,5,10
2012,7,Rosberg,Mercedes,6,8
2012,7,Webber,Red Bull,7,6
2012,7,Räikkönen,Lotus F1,8,4
2012,7,Kobayashi,Sauber,9,2
2012,7,Massa,Ferrari,10,1
2012,7,di Resta,Force India,11,0
2012,7,Hülkenberg,Force India,12,0
2012,7,Maldonado,Williams,13,0
2012,7,Ricciardo,Toro Rosso,14,0
2012,7,Vergne,Toro Rosso,15,0
2012,7,Button,McLaren,16,0
2012,7,Senna,Williams,17,0
2012,7,Kovalainen,Caterham,18,0
2012,7,Petrov,Caterham,19,0
2012,7,Pic,Marussia,20,0
2012,7,Glock,Marussia,21,0
2012,7,Schumacher,Mercedes,22,0
2012,7,de la Rosa,HRT,23,0
2012,7,Karthikeyan,HRT,24,0
2012,17,Vettel,Red Bull,1,25
2012,17,Alonso,Ferrari,2,18
2012,17,Webber,Red Bull,3,15
2012,17,Hamilton,McLaren,4,12
2012,17,Button,McLaren,5,10
2012,17,Massa,Ferrari,6,8
2012,17,Räikkönen,Lotus F1,7,6
2012,17,Hülkenberg,Force India,8,4
2012,17,Grosjean,Lotus F1,9,2
2012,17,Senna,Williams,10,1
2012,17,Rosberg,Mercedes,11,0
2012,17,di Resta,Force India,12,0
2012,17,Ricciardo,Toro Rosso,13,0
2012,17,Kobayashi,Sauber,14,0
2012,17,Vergne,Toro Rosso,15,0
2012,17,Maldonado,Williams,16,0
2012,17,Petrov,Caterham,17,0
2012,17,Kovalainen,Caterham,18,0
2012,17,Pic,Marussia,19,0
2012,17,Glock,Marussia,20,0
2012,17,Karthikeyan,HRT,21,0
2012,17,Schumacher,Mercedes,22,0
2012,17,de la Rosa,HRT,23,0
2012,17,Pérez,Sauber,24,0
2012,19,Hamilton,McLaren,1,25
2012,19,Vettel,Red Bull,2,18
2012,19,Alonso,Ferrari,3,15
2012,19,Massa,Ferrari,4,12
2012,19,Button,McLaren,5,10
2012,19,Räikkönen,Lotus F1,6,8
2012,19,Grosjean,Lotus F1,7,6
2012,19,Hülkenberg,Force India,8,4
2012,19,Maldonado,Williams,9,2
2012,19,Senna,Williams,10,1
2012,19,Pérez,Sauber,11,0
2012,19,Ricciardo,Toro Rosso,12,0
2012,19,Rosberg,Mercedes,13,0
2012,19,Kobayashi,Sauber,14,0
2012,19,di Resta,Force India,15,0
2012,19,Schumacher,Mercedes,16,0
2012,19,Petrov,Caterham,17,0
2012,19,Kovalainen,Caterham,18,0
2012,19,Glock,Marussia,19,0
2012,19,Pic,Marussia,20,0
2012,19,de la Rosa,HRT,21,0
2012,19,Karthikeyan,HRT,22,0
2012,19,Webber,Red Bull,23,0
2012,19,Vergne,Toro Rosso,24,0
2012,16,Vettel,Red Bull,1,25
2012,16,Webber,Red Bull,2,18
2012,16,Alonso,Ferrari,3,15
2012,16,Massa,Ferrari,4,12
2012,16,Räikkönen,Lotus F1,5,10
2012,16,Hülkenberg,Force India,6,8
2012,16,Grosjean,Lotus F1,7,6
2012,16,Vergne,Toro Rosso,8,4
2012,16,Ricciardo,Toro Rosso,9,2
2012,16,Hamilton,McLaren,10,1
2012,16,Pérez,Sauber,11,0
2012,16,di Resta,Force India,12,0
2012,16,Schumacher,Mercedes,13,0
2012,16,Maldonado,Williams,14,0
2012,16,Senna,Williams,15,0
2012,16,Petrov,Caterham,16,0
2012,16,Kovalainen,Caterham,17,0
2012,16,Glock,Marussia,18,0
2012,16,Pic,Marussia,19,0
2012,16,Karthikeyan,HRT,20,0
2012,16,de la Rosa,HRT,21,0
2012,16,Kobayashi,Sauber,22,0
2012,16,Rosberg,Mercedes,23,0
2012,16,Button,McLaren,24,0
2012,20,Button,McLaren,1,25
2012,20,Alonso,Ferrari,2,18
2012,20,Massa,Ferrari,3,15
2012,20,Webber,Red Bull,4,12
2012,20,Hülkenberg,Force India,5,10
2012,20,Vettel,Red Bull,6,8
2012,20,Schumacher,Mercedes,7,6
2012,20,Vergne,Toro Rosso,8,4
2012,20,Kobayashi,Sauber,9,2
2012,20,Räikkönen,Lotus F1,10,1
2012,20,Petrov,Caterham,11,0
2012,20,Pic,Marussia,12,0
2012,20,Ricciardo,Toro Rosso,13,0
2012,20,Kovalainen,Caterham,14,0
2012,20,Rosberg,Mercedes,15,0
2012,20,Glock,Marussia,16,0
2012,20,de la Rosa,HRT,17,0
2012,20,Karthikeyan,HRT,18,0
2012,20,di Resta,Force India,19,0
2012,20,Hamilton,McLaren,20,0
2012,20,Grosjean,Lotus F1,21,0
2012,20,Maldonado,Williams,22,0
2012,20,Senna,Williams,23,0
2012,20,Pérez,Sauber,24,0
2013,1,Räikkönen,Lotus F1,1,25
2013,1,Alonso,Ferrari,2,18
2013,1,Vettel,Red Bull,3,15
2013,1,Massa,Ferrari,4,12
2013,1,Hamilton,Mercedes,5,10
2013,1,Webber,Red Bull,6,8
2013,1,Sutil,Force India,7,6
2013,1,di Resta,Force India,8,4
2013,1,Button,McLaren,9,2
2013,1,Grosjean,Lotus F1,10,1
2013,1,Pérez,McLaren,11,0
2013,1,Vergne,Toro Rosso,12,0
2013,1,Gutiérrez,Sauber,13,0
2013,1,Bottas,Williams,14,0
2013,1,Bianchi,Marussia,15,0
2013,1,Pic,Caterham,16,0
2013,1,Chilton,Marussia,17,0
2013,1,van der Garde,Caterham,18,0
2013,1,Ricciardo,Toro Rosso,19,0
2013,1,Rosberg,Mercedes,20,0
2013,1,Maldonado,Williams,21,0
2013,1,Hülkenberg,Sauber,22,0
2013,4,Vettel,Red Bull,1,25
2013,4,Räikkönen,Lotus F1,2,18
2013,4,Grosjean,Lotus F1,3,15
2013,4,di Resta,Force India,4,12
2013,4,Hamilton,Mercedes,5,10
2013,4,Pérez,McLaren,6,8
2013,4,Webber,Red Bull,7,6
2013,4,Alonso,Ferrari,8,4
2013,4,Rosberg,Mercedes,9,2
2013,4,Button,McLaren,10,1
2013,4,Maldonado,Williams,11,0
2013,4,Hülkenberg,Sauber,12,0
2013,4,Sutil,Force India,13,0
2013,4,Bottas,Williams,14,0
2013,4,Massa,Ferrari,15,0
2013,4,Ricciardo,Toro Rosso,16,0
2013,4,Pic,Caterham,17,0
2013,4,Gutiérrez,Sauber,18,0
2013,4,Bianchi,Marussia,19,0
2013,4,Chilton,Marussia,20,0
2013,4,van der Garde,Caterham,21,0
2013,4,Vergne,Toro Rosso,22,0
2013,5,Alonso,Ferrari,1,25
2013,5,Räikkönen,Lotus F1,2,18
2013,5,Massa,Ferrari,3,15
2013,5,Vettel,Red Bull,4,12
2013,5,Webber,Red Bull,5,10
2013,5,Rosberg,Mercedes,6,8
2013,5,di Resta,Force India,7,6
2013,5,Button,McLaren,8,4
2013,5,Pérez,McLaren,9,2
2013,5,Ricciardo,Toro Rosso,10,1
2013,5,Gutiérrez,Sauber,11,0
2013,5,Hamilton,Mercedes,12,0
2013,5,Sutil,Force India,13,0
2013,5,Maldonado,Williams,14,0
2013,5,Hülkenberg,Sauber,15,0
2013,5,Bottas,Williams,16,0
2013,5,Pic,Caterham,17,0
2013,5,Bianchi,Marussia,18,0
2013,5,Chilton,Marussia,19,0
2013,5,Vergne,Toro Rosso,20,0
2013,5,van der Garde,Caterham,21,0
2013,5,Grosjean,Lotus F1,22,0
2013,6,Rosberg,Mercedes,1,25
2013,6,Vettel,Red Bull,2,18
2013,6,Webber,Red Bull,3,15
2013,6,Hamilton,Mercedes,4,12
2013,6,Sutil,Force India,5,10
2013,6,Button,McLaren,6,8
2013,6,Alonso,Ferrari,7,6
2013,6,Vergne,Toro Rosso,8,4
2013,6,di Resta,Force India,9,2
2013,6,Räikkönen,Lotus F1,10,1
2013,6,Hülkenberg,Sauber,11,0
2013,6,Bottas,Williams,12,0
2013,6,Gutiérrez,Sauber,13,0
2013,6,Chilton,Marussia,14,0
2013,6,van der Garde,Caterham,15,0
2013,6,Pérez,McLaren,16,0
2013,6,Grosjean,Lotus F1,17,0
2013,6,Ricciardo,Toro Rosso,18,0
2013,6,Bianchi,Marussia,19,0
2013,6,Maldonado,Williams,20,0
2013,6,Massa,Ferrari,21,0
2013,6,Pic,Caterham,22,0
2013,7,Vettel,Red Bull,1,25
2013,7,Alonso,Ferrari,2,18
2013,7,Hamilton,Mercedes,3,15
2013,7,Webber,Red Bull,4,12
2013,7,Rosberg,Mercedes,5,10
2013,7,Vergne,Toro Rosso,6,8
2013,7,di Resta,Force India,7,6
2013,7,Massa,Ferrari,8,4
2013,7,Räikkönen,Lotus F1,9,2
2013,7,Sutil,Force India,10,1
2013,7,Pérez,McLaren,11,0
2013,7,Button,McLaren,12,0
2013,7,Grosjean,Lotus F1,13,0
2013,7,Bottas,Williams,14,0
2013,7,Ricciardo,Toro Rosso,15,0
2013,7,Maldonado,Williams,16,0
2013,7,Bianchi,Marussia,17,0
2013,7,Pic,Caterham,18,0
2013,7,Chilton,Marussia,19,0
2013,7,Gutiérrez,Sauber,20,0
2013,7,Hülkenberg,Sauber,21,0
2013,7,van der Garde,Caterham,22,0
2013,8,Rosberg,Mercedes,1,25
2013,8,Webber,Red Bull,2,18
2013,8,Alonso,Ferrari,3,15
2013,8,Hamilton,Mercedes,4,12
2013,8,Räikkönen,Lotus F1,5,10
2013,8,Massa,Ferrari,6,8
2013,8,Sutil,Force India,7,6
2013,8,Ricciardo,Toro Rosso,8,4
2013,8,di Resta,Force India,9,2
2013,8,Hülkenberg,Sauber,10,1
2013,8,Maldonado,Williams,11,0
2013,8,Bottas,Williams,12,0
2013,8,Button,McLaren,13,0
2013,8,Gutiérrez,Sauber,14,0
2013,8,Pic,Caterham,15,0
2013,8,Bianchi,Marussia,16,0
2013,8,Chilton,Marussia,17,0
2013,8,van der Garde,Caterham,18,0
2013,8,Grosjean,Lotus F1,19,0
2013,8,Pérez,McLaren,20,0
2013,8,Vettel,Red Bull,21,0
2013,8,Vergne,Toro Rosso,22,0
2013,2,Vettel,Red Bull,1,25
2013,2,Webber,Red Bull,2,18
2013,2,Hamilton,Mercedes,3,15
2013,2,Rosberg,Mercedes,4,12
2013,2,Massa,Ferrari,5,10
2013,2,Grosjean,Lotus F1,6,8
2013,2,Räikkönen,Lotus F1,7,6
2013,2,Hülkenberg,Sauber,8,4
2013,2,Pérez,McLaren,9,2
2013,2,Vergne,Toro Rosso,10,1
2013,2,Bottas,Williams,11,0
2013,2,Gutiérrez,Sauber,12,0
2013,2,Bianchi,Marussia,13,0
2013,2,Pic,Caterham,14,0
2013,2,van der Garde,Caterham,15,0
2013,2,Chilton,Marussia,16,0
2013,2,Button,McLaren,17,0
2013,2,Ricciardo,Toro Rosso,18,0
2013,2,Maldonado,Williams,19,0
2013,2,Sutil,Force India,20,0
2013,2,di Resta,Force India,21,0
2013,2,Alonso,Ferrari,22,0
2013,10,Hamilton,Mercedes,1,25
2013,10,Räikkönen,Lotus F1,2,18
2013,10,Vettel,Red Bull,3,15
2013,10,Webber,Red Bull,4,12
2013,10,Alonso,Ferrari,5,10
2013,10,Grosjean,Lotus F1,6,8
2013,10,Button,McLaren,7,6
2013,10,Massa,Ferrari,8,4
2013,10,Pérez,McLaren,9,2
2013,10,Maldonado,Williams,10,1
2013,10,Hülkenberg,Sauber,11,0
2013,10,Vergne,Toro Rosso,12,0
2013,10,Ricciardo,Toro Rosso,13,0
2013,10,van der Garde,Caterham,14,0
2013,10,Pic,Caterham,15,0
2013,10,Bianchi,Marussia,16,0
2013,10,Chilton,Marussia,17,0
2013,10,di Resta,Force India,18,0
2013,10,Rosberg,Mercedes,19,0
2013,10,Bottas,Williams,20,0
2013,10,Gutiérrez,Sauber,21,0
2013,10,Sutil,Force India,22,0
2013,12,Vettel,Red Bull,1,25
2013,12,Alonso,Ferrari,2,18
2013,12,Webber,Red Bull,3,15
2013,12,Massa,Ferrari,4,12
2013,12,Hülkenberg,Sauber,5,10
2013,12,Rosberg,Mercedes,6,8
2013,12,Ricciardo,Toro Rosso,7,6
2013,12,Grosjean,Lotus F1,8,4
2013,12,Hamilton,Mercedes,9,2
2013,12,Button,McLaren,10,1
2013,12,Räikkönen,Lotus F1,11,0
2013,12,Pérez,McLaren,12,0
2013,12,Gutiérrez,Sauber,13,0
2013,12,Maldonado,Williams,14,0
2013,12,Bottas,Williams,15,0
2013,12,Sutil,Force India,16,0
2013,12,Pic,Caterham,17,0
2013,12,van der Garde,Caterham,18,0
2013,12,Bianchi,Marussia,19,0
2013,12,Chilton,Marussia,20,0
2013,12,Vergne,Toro Rosso,21,0
2013,12,di Resta,Force India,22,0
2013,13,Vettel,Red Bull,1,25
2013,13,Alonso,Ferrari,2,18
2013,13,Räikkönen,Lotus F1,3,15
2013,13,Rosberg,Mercedes,4,12
2013,13,Hamilton,Mercedes,5,10
2013,13,Massa,Ferrari,6,8
2013,13,Button,McLaren,7,6
2013,13,Pérez,McLaren,8,4
2013,13,Hülkenberg,Sauber,9,2
2013,13,Sutil,Force India,10,1
2013,13,Maldonado,Williams,11,0
2013,13,Gutiérrez,Sauber,12,0
2013,13,Bottas,Williams,13,0
2013,13,Vergne,Toro Rosso,14,0
2013,13,Webber,Red Bull,15,0
2013,13,van der Garde,Caterham,16,0
2013,13,Chilton,Marussia,17,0
2013,13,Bianchi,Marussia,18,0
2013,13,Pic,Caterham,19,0
2013,13,di Resta,Force India,20,0
2013,13,Grosjean,Lotus F1,21,0
2013,13,Ricciardo,Toro Rosso,22,0
2013,14,Vettel,Red Bull,1,25
2013,14,Räikkönen,Lotus F1,2,18
2013,14,Grosjean,Lotus F1,3,15
2013,14,Hülkenberg,Sauber,4,12
2013,14,Hamilton,Mercedes,5,10
2013,14,Alonso,Ferrari,6,8
2013,14,Rosberg,Mercedes,7,6
2013,14,Button,McLaren,8,4
2013,14,Massa,Ferrari,9,2
2013,14,Pérez,McLaren,10,1
2013,14,Gutiérrez,Sauber,11,0
2013,14,Bottas,Williams,12,0
2013,14,Maldonado,Williams,13,0
2013,14,Pic,Caterham,14,0
2013,14,van der Garde,Caterham,15,0
2013,14,Bianchi,Marussia,16,0
2013,14,Chilton,Marussia,17,0
2013,14,Vergne,Toro Rosso,18,0
2013,14,Ricciardo,Toro Rosso,19,0
2013,14,Sutil,Force India,20,0
2013,14,Webber,Red Bull,21,0
2013,14,di Resta,Force India,22,0
2013,9,Vettel,Red Bull,1,25
2013,9,Räikkönen,Lotus F1,2,18
2013,9,Grosjean,Lotus F1,3,15
2013,9,Alonso,Ferrari,4,12
2013,9,Hamilton,Mercedes,5,10
2013,9,Button,McLaren,6,8
2013,9,Webber,Red Bull,7,6
2013,9,Pérez,McLaren,8,4
2013,9,Rosberg,Mercedes,9,2
2013,9,Hülkenberg,Sauber,10,1
2013,9,di Resta,Force India,11,0
